Job Title,Account Tier,Strength,Decision-Making Power / Seniority  ,Vertical,Sub-Vertical,Pod,Industry,Original Source,Original Source Drill-Down 1
"Associate Manager, Digital Aquisition",4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION
"Vice President, Partner Development",5,D ,D - Lower-level in non-relevant teams,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,EXTENSION
IT Director,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Other Campaigns,
,4,X ,X - Not Specified,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
VP of Sales & Marketing,6,B ,B - SVP/VP in decision-making position,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Offline Sources,INTEGRATION
Customer Experience Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,INTEGRATION
National Festivals Marketing and Palace Cinemas PR Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,INTEGRATION
Co-Founder,6,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Media,Entertainment,Offline Sources,INTEGRATION
Founder / CEO,6,A ,A - CEO/CXO,Sports and Fitness,Fitness,Retail,HEALTH_WELLNESS_AND_FITNESS,Offline Sources,
Chief Information Officer,4,A ,A - CEO/CXO,B2B,Marketing and Advertising,Deals,Marketing & Advertising,Offline Sources,EXTENSION
Chief Financial Officer,4,A ,A - CEO/CXO,B2B,Marketing and Advertising,Deals,Marketing & Advertising,Offline Sources,EXTENSION
,5,F ,F - Left the company,Travel,Travel - Other,Travel,"Leisure, Travel & Tourism",Offline Sources,EXTENSION
,4,X ,X - Not Specified,Retail,Retail - Other,Deals,Retail,Offline Sources,EXTENSION
Information Security Engineer,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,Retail,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Retail,Retail - Other,Retail,Internet,Offline Sources,EXTENSION
,6,X ,X - Not Specified,Retail,Fashion,Retail,Textiles,Organic Search,Unknown keywords (SSL)
President and COO,5,A ,A - CEO/CXO,Media and Entertainment,Fantasy Sports,Entertainment,,Offline Sources,INTEGRATION
Marketing Manager,5,C ,C - Lower-level in relevant teams,Media and Entertainment,Fantasy Sports,Entertainment,,Offline Sources,INTEGRATION
Online Merchandising and Content Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
"Director, Ecommerce Operations",4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION
CEO,4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION
Enterprise Architect,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,PRESENTATIONS
"Head of Corporate Development, Strategy, & Exhibitor Relations",4,B ,B - SVP/VP in decision-making position,Ticketing,Movies,Entertainment,Entertainment,Offline Sources,INTEGRATION
Sr. Manager - Affiliate Marketing,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Deals,Retail,Offline Sources,INTEGRATION
"VP, Digital Marketing & ECommerce",4,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Services,Software and Digital,Entertainment,Internet,Offline Sources,EXTENSION
