0,1,2,3,4,5,6,7,8,9,Stored Title
"Director Of Ecommerce, Digital Marketing",6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Retail,Offline Sources,EXTENSION,Director
"Director, Brand Management",6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Retail,Offline Sources,EXTENSION,Director
Vice President Operations,5,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Fantasy Sports,Entertainment,,Offline Sources,INTEGRATION,President
Chief Executive Officer,5,A ,A - CEO/CXO,Media and Entertainment,Fantasy Sports,Entertainment,,Offline Sources,INTEGRATION,CEO
CEO,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Entertainment,,Offline Sources,INTEGRATION,CEO
CEO,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,INTEGRATION,CEO
Software Engineer,4,D ,D - Lower-level in non-relevant teams,Ticketing,Movies,Entertainment,Entertainment,Offline Sources,EXTENSION,Software Engineer
President,5,A ,A - CEO/CXO,Services,Software and Digital,Entertainment,Internet,Offline Sources,EXTENSION,President
E-Commerce Dept.,5,C ,C - Lower-level in relevant teams,Services,Services - Other,Subscription,Facilities Services,Offline Sources,EXTENSION,E-Commerce Dept.
Marketing Director,6,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Entertainment,Offline Sources,EXTENSION,Director
Chief Executive Officer,6,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,EXTENSION,CEO
CRM,5,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,Restaurants,Offline Sources,EXTENSION,CRM
Ecommerce Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION,Ecommerce Manager
Chief Technology Officer,4,A ,A - CEO/CXO,Jobs and Education,Online Education,Education,E Learning,Offline Sources,EXTENSION,Chief Technology Officer
Digital Experience Marketing Manager,5,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,Restaurants,Offline Sources,EXTENSION,Digital Experience
UX/UI Designer,4,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Retail,Internet,Offline Sources,EXTENSION,UX/UI Designer
Digital experience manager,4,C ,C - Lower-level in relevant teams,Retail,Beauty and Personal Care,Retail,Venture Capital & Private Equity,Offline Sources,EXTENSION,Digital Experience
VP Marketing,4,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,INTEGRATION,Vice President
CEO,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,INTEGRATION,CEO
Lead Developer,4,D ,D - Lower-level in non-relevant teams,Jobs and Education,Online Education,Education,E Learning,Offline Sources,EXTENSION,Developer
Vice President Digital Product and Operations,6,B ,B - SVP/VP in decision-making position,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Offline Sources,EXTENSION,President
Senior Graphic Designer,6,D ,D - Lower-level in non-relevant teams,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Offline Sources,EXTENSION,Senior Graphic Designer
CTO,4,A ,A - CEO/CXO,Services,Software and Digital,Telco,Internet,Offline Sources,EXTENSION,CTO
Co-Founder / Partner,5,A ,A - CEO/CXO,Food and Beverage,CPG,Food Services,Consumer Goods,Offline Sources,EXTENSION,Founder
CTO,4,A ,A - CEO/CXO,Services,Software and Digital,Telco,Internet,Offline Sources,INTEGRATION,CTO
"Vice President, Digital & E-Commerce",4,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,Consumer Goods,Offline Sources,INTEGRATION,President
Vice President Marketing & Ecommerce,4,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,Consumer Goods,Offline Sources,INTEGRATION,President
Business Development Associate,4,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,Deals,Marketing & Advertising,Offline Sources,EXTENSION,Business Development Associate
CEO - Founder,4,A ,A - CEO/CXO,Jobs and Education,Online Education,Education,E Learning,Paid Search,mt - ads - us - brand,CEO
Senior Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Deals,Retail,Offline Sources,EXTENSION,Senior Marketing Manager
Founder,4,A ,A - CEO/CXO,Retail,Beauty and Personal Care,Retail,Cosmetics,Offline Sources,INTEGRATION,Founder
Director of Purchasing,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Deals,Retail,Offline Sources,INTEGRATION,Director
IT - Director / Manager,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION,Director
Executive Director | Digital & Restaurant Experience,5,A ,A - CEO/CXO,Food and Beverage,Food Delivery,Food Services,Restaurants,Offline Sources,EXTENSION,Director
Content Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Content Marketing Manager
Customer Experience Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Customer Experience Manager
Vice President Marketing,4,B ,B - SVP/VP in decision-making position,Retail,Beauty and Personal Care,Retail,Cosmetics,Offline Sources,INTEGRATION,President
Content and Social Media Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION,Content and Social Media Marketing Manager
Logistics Manager,4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,EXTENSION,Logistics Manager
Marketing Coordinator,5,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,Marketing & Advertising,Offline Sources,EXTENSION,COO
Head of Growth,5,B ,B - SVP/VP in decision-making position,Food and Beverage,CPG,Food Services,Consumer Goods,Offline Sources,CONTACTS,Head of Growth
Founder & CEO,4,A ,A - CEO/CXO,Services,Software and Digital,Telco,Internet,Paid Search,mt - ads - us - brand,CEO
Digital Marketing Coordinator,5,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,Marketing & Advertising,Offline Sources,EXTENSION,COO
SVP Innovation & Partnerships,4,B ,B - SVP/VP in decision-making position,B2B,Software and Digital,B2B,Internet,Offline Sources,EXTENSION,Vice President
CTO,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,EXTENSION,CTO
Sales,5,C ,C - Lower-level in relevant teams,Media and Entertainment,"Music, Movies and Photography",Entertainment,,Other Campaigns,,Sales
Ecommerce Web Project Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,EXTENSION,Ecommerce Web Project Manager
Lead Software Engineer,4,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Retail,Internet,Offline Sources,EXTENSION,Lead Software Engineer
Client Success Manager,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,INTEGRATION,Client Success Manager
CEO,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,EXTENSION,CEO
Product Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION,Product Manager
Director of Product Management & Content Operations,4,C ,C - Lower-level in relevant teams,Ticketing,Movies,Entertainment,Entertainment,Offline Sources,EXTENSION,Director
Principal Engineering Leader,4,D ,D - Lower-level in non-relevant teams,Ticketing,Movies,Entertainment,Entertainment,Offline Sources,EXTENSION,Principal Engineering Leader
Software Engineer,4,D ,D - Lower-level in non-relevant teams,Ticketing,Movies,Entertainment,Entertainment,Offline Sources,EXTENSION,Software Engineer
"General Counsel, Assistant Secretary, and Interim Chief Operating Officer",4,A ,A - CEO/CXO,Ticketing,Movies,Entertainment,Entertainment,Offline Sources,EXTENSION,"General Counsel, Assistant Secretary, and Interim Chief Operating Officer"
Head Of Finance,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Entertainment,Offline Sources,EXTENSION,Head Of Finance
Senior Director of Digitial Operations,6,D ,D - Lower-level in non-relevant teams,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Offline Sources,EXTENSION,Director
Chief Executive Officer,6,A ,A - CEO/CXO,Retail,Fashion,Retail,Retail,Offline Sources,INTEGRATION,CEO
Marketing Coordinator,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,EXTENSION,COO
Vice President International Business Development & Partnerships,6,B ,B - SVP/VP in decision-making position,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Offline Sources,EXTENSION,President
Technical Team Lead,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION,Technical Team Lead
Director Of Ticketing,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Referrals,apps.rokt.com,Director
Director of Product Development and Brand Strategy,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION,Director
Senior Frontend Developer,4,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Subscription,,Offline Sources,EXTENSION,Developer
Thread Shop Coordinator,5,D ,D - Lower-level in non-relevant teams,Retail,"Music, Movies and Photography",Retail,Music,Offline Sources,EXTENSION,COO
Senior Vice President of Sales and Licensing at Sony Music- The Thread Shop,5,B ,B - SVP/VP in decision-making position,Retail,"Music, Movies and Photography",Retail,Music,Offline Sources,EXTENSION,President
Director Of Development,5,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,Restaurants,Offline Sources,INTEGRATION,Director
"Vice President - Operations Services and Innovation, Supply Chain and Business Development",5,B ,B - SVP/VP in decision-making position,Food and Beverage,Food Delivery,Food Services,Restaurants,Offline Sources,INTEGRATION,President
"Senior Vice President, Partnerships",4,B ,B - SVP/VP in decision-making position,B2B,Software and Digital,B2B,Internet,Offline Sources,EXTENSION,President
Chief Operating Officer,6,A ,A - CEO/CXO,Food and Beverage,CPG,Food Services,Consumer Goods,Offline Sources,EXTENSION,Chief Operating Officer
eCommerce Business Support Specialist,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,eCommerce Business Support Specialist
Ecommerce Coordinator,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,COO
e-Commerce Catalog Data Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,e-Commerce Catalog Data Manager
Ecommerce Merchandiser,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Ecommerce Merchandiser
Head of E-Commerce Marketing,4,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION,Head of E-Commerce Marketing
eCommerce Product Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,eCommerce Product Manager
Operations Supervisor ECommerce,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Operations Supervisor ECommerce
lead in E-commerce,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,lead in E-commerce
Senior Ecommerce Coordinator,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,COO
Ecommerce Product Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Ecommerce Product Manager
Ecommerce B2C Customer Service Representative,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Ecommerce B2C Customer Service Representative
Sr. Manager Ecommerce Operations,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Sr. Manager Ecommerce Operations
eCommerce Account Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Account Manager
Director Of Ecommerce,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Director
Manager of Ecommerce Analytics,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Manager of Ecommerce Analytics
President/CEO,4,A ,A - CEO/CXO,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,CEO
Ecommerce Web Project Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Ecommerce Web Project Manager
Senior e-Commerce Coordinator,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,COO
Ecommerce Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Ecommerce Manager
Ecommerce B2C Customer Service Representative,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Ecommerce B2C Customer Service Representative
eCommerce Sales Representative,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,eCommerce Sales Representative
Chief Financial Officer,5,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Retail,Marketing & Advertising,Offline Sources,EXTENSION,Chief Financial Officer
President,4,A ,A - CEO/CXO,B2B,Software and Digital,B2B,Internet,Offline Sources,INTEGRATION,President
COO & Founder,6,A ,A - CEO/CXO,Travel,Travel - Other,Travel,"Leisure, Travel & Tourism",Offline Sources,EXTENSION,COO
"Director, Site Merchandising - BCBG & Maternity",6,D ,D - Lower-level in non-relevant teams,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Offline Sources,EXTENSION,Director
CEO & Founder,6,A ,A - CEO/CXO,Travel,Travel - Other,Travel,"Leisure, Travel & Tourism",Offline Sources,EXTENSION,CEO
"Senior Engineer, Ecommerce Platform",4,C ,C - Lower-level in relevant teams,Services,Software and Digital,Retail,Internet,Offline Sources,EXTENSION,"Senior Engineer, Ecommerce Platform"
CEO,6,A ,A - CEO/CXO,Food and Beverage,CPG,Food Services,Consumer Goods,Referrals,apps.rokt.com,CEO
Owner,4,A ,A - CEO/CXO,Ticketing,Ticketing,Entertainment,Travel & Tourism,Offline Sources,EXTENSION,Owner
DIGITAL MARKETING EXECUTIVE,5,C ,C - Lower-level in relevant teams,Retail,Deals and Group Buying,B2B,Marketing & Advertising,Offline Sources,EXTENSION,DIGITAL MARKETING EXECUTIVE
Chief Financial Officer,4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION,Chief Financial Officer
Manager,4,D ,D - Lower-level in non-relevant teams,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Other Campaigns,,Manager
Marketing Specialist,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,SALES,Marketing Specialist
Chief Experience Officer (CXO),4,D ,D - Lower-level in non-relevant teams,Jobs and Education,Online Education,Education,COMPUTER_SOFTWARE,Referrals,apps.rokt.com,CEO
???????,4,D ,D - Lower-level in non-relevant teams,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Other Campaigns,,???????
Director of App Development,4,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Subscription,,Offline Sources,EXTENSION,Director
Ecommerce Senior Qa Analyst,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION,Ecommerce Senior Qa Analyst
"Co-Founder, CMO",6,A ,A - CEO/CXO,Retail,Beauty and Personal Care,Retail,Cosmetics,Direct Traffic,rokt.com/,Founder
Director Of Engineering,4,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Retail,Internet,Offline Sources,EXTENSION,Director
Ecommerce Manager,4,C ,C - Lower-level in relevant teams,Services,Software and Digital,Retail,Internet,Offline Sources,EXTENSION,Ecommerce Manager
Director of Business Intelligence,4,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Retail,Internet,Offline Sources,EXTENSION,Director
CEO & Co-Founder,6,A ,A - CEO/CXO,Services,Services - Other,Subscription,Consumer Services,Referrals,wsdk.rokt.com,CEO
Co-Owner and Operations Director,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Deals,Retail,Offline Sources,INTEGRATION,Director
"Sr. Mgr, Retention Marketing",4,C ,C - Lower-level in relevant teams,Ticketing,Movies,Entertainment,Computer Software,Offline Sources,INTEGRATION,"Sr. Mgr, Retention Marketing"
Digital Marketing and Data Entry,6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Offline Sources,EXTENSION,Digital Marketing and Data Entry
President,6,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION,President
Manager - Database Marketing and Analytics,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION,Manager - Database Marketing and Analytics
TEG Financial Accountant,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Entertainment,Offline Sources,EXTENSION,TEG Financial Accountant
Financial Accountant,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Entertainment,Offline Sources,EXTENSION,Financial Accountant
Vice President Information Technology,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food and Beverage Subscriptions,Subscription,Restaurants,Offline Sources,EXTENSION,President
"Director, Marketing and Partnerships",4,C ,C - Lower-level in relevant teams,Ticketing,Movies,Entertainment,Entertainment,Offline Sources,INTEGRATION,Director
"Associate Manager, Digital Aquisition",4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION,Associate Manager
"Vice President, Partner Development",5,D ,D - Lower-level in non-relevant teams,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,EXTENSION,President
IT Director,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Other Campaigns,,Director
VP of Sales & Marketing,6,B ,B - SVP/VP in decision-making position,B2B,Marketing and Advertising,B2B,Marketing & Advertising,Offline Sources,INTEGRATION,Vice President
Customer Experience Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,INTEGRATION,Customer Experience Manager
National Festivals Marketing and Palace Cinemas PR Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,INTEGRATION,National Festivals Marketing and Palace Cinemas PR Manager
Co-Founder,6,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Media,Entertainment,Offline Sources,INTEGRATION,Founder
Founder / CEO,6,A ,A - CEO/CXO,Sports and Fitness,Fitness,Retail,HEALTH_WELLNESS_AND_FITNESS,Offline Sources,,CEO
Chief Information Officer,4,A ,A - CEO/CXO,B2B,Marketing and Advertising,Deals,Marketing & Advertising,Offline Sources,EXTENSION,Chief Information Officer
Chief Financial Officer,4,A ,A - CEO/CXO,B2B,Marketing and Advertising,Deals,Marketing & Advertising,Offline Sources,EXTENSION,Chief Financial Officer
Information Security Engineer,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,Retail,Offline Sources,EXTENSION,Information Security Engineer
President and COO,5,A ,A - CEO/CXO,Media and Entertainment,Fantasy Sports,Entertainment,,Offline Sources,INTEGRATION,COO
Marketing Manager,5,C ,C - Lower-level in relevant teams,Media and Entertainment,Fantasy Sports,Entertainment,,Offline Sources,INTEGRATION,Marketing Manager
Online Merchandising and Content Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION,Online Merchandising and Content Manager
"Director, Ecommerce Operations",4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION,Director
CEO,4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION,CEO
Enterprise Architect,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,PRESENTATIONS,Enterprise Architect
"Head of Corporate Development, Strategy, & Exhibitor Relations",4,B ,B - SVP/VP in decision-making position,Ticketing,Movies,Entertainment,Entertainment,Offline Sources,INTEGRATION,"Head of Corporate Development, Strategy, & Exhibitor Relations"
Sr. Manager - Affiliate Marketing,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Deals,Retail,Offline Sources,INTEGRATION,Sr. Manager - Affiliate Marketing
"VP, Digital Marketing & ECommerce",4,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION,Vice President
"Director: Operations, Client Services & Sales",4,C ,C - Lower-level in relevant teams,Services,Software and Digital,Entertainment,Internet,Offline Sources,EXTENSION,Director
Editorial Operations Director,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Media Production,Offline Sources,EXTENSION,Director
?????? ??,6,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Fantasy Sports,Electronics & Gaming,,Direct Traffic,rokt.jp/contact-us,?????? ??
Head Of Customer Support,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION,Head Of Customer Support
Founder & CEO,4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION,CEO
Operations Specialist,5,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,EXTENSION,Operations Specialist
Owner,5,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Entertainment,,Offline Sources,EXTENSION,Owner
Owner,5,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,EXTENSION,Owner
CMO,4,A ,A - CEO/CXO,Media and Entertainment,Movies,Media,,Offline Sources,CONTACTS,CMO
CEO,4,A ,A - CEO/CXO,Media and Entertainment,Movies,Media,,Offline Sources,CONTACTS,CEO
CEO & Founder,5,A ,A - CEO/CXO,Food and Beverage,CPG,Food Services,Consumer Goods,Offline Sources,INTEGRATION,CEO
Digital Marketing Manager | Paid Acquisition,5,C ,C - Lower-level in relevant teams,Food and Beverage,CPG,Food Services,Consumer Goods,Offline Sources,INTEGRATION,Digital Marketing Manager
Marketing Manager,5,C ,C - Lower-level in relevant teams,Food and Beverage,CPG,Food Services,Consumer Goods,Offline Sources,INTEGRATION,Marketing Manager
CFO,5,A ,A - CEO/CXO,Food and Beverage,CPG,Food Services,Consumer Goods,Offline Sources,INTEGRATION,CFO
Digital Marketing Specialist,4,C ,C - Lower-level in relevant teams,Retail,Beauty and Personal Care,Retail,Cosmetics,Offline Sources,INTEGRATION,Digital Marketing Specialist
"Director, Digital Marketing",4,C ,C - Lower-level in relevant teams,Retail,Beauty and Personal Care,Retail,Cosmetics,Offline Sources,INTEGRATION,Director
"Sr. Director, CRM & Retention",5,C ,C - Lower-level in relevant teams,Food and Beverage,CPG,Food Services,Consumer Goods,Offline Sources,INTEGRATION,Director
Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION,Marketing Manager
Co-Founder,4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION,Founder
